Abalistes stellaris
Abantennarius coccineus
Ablennes hians
Abudefduf bengalensis
Abudefduf vaigiensis
Acanthaluteres brownii
Acanthocepola krusensternii
Acanthochromis polyacanthus
Acanthocybium solandri
Acanthogobius flavimanus
Acanthogobius hasta
Acanthogobius stigmothonus
Acanthopagrus latus
Acanthopagrus pacificus
Acanthopagrus schlegelii
Acanthopsetta nadeshnyi
Acanthurus achilles
Acanthurus bahianus
Acanthurus blochii
Acanthurus coeruleus
Acanthurus dussumieri
Acanthurus guttatus
Acanthurus leucopareius
Acanthurus leucosternon
Acanthurus lineatus
Acanthurus nigricans
Acanthurus nigrofuscus
Acanthurus nigroris
Acanthurus olivaceus
Acanthurus thompsoni
Acanthurus triostegus
Acanthurus xanthopterus
Acentrogobius caninus
Acentrogobius chlorostigmatoides
Acentrogobius pflaumii
Acentrogobius sp.
Acentronura tentaculata
Acentrophryne dolichonema
Acreichthys tomentosus
Acropoma japonicum
Acroteriobatus annulatus
Acroteriobatus blochii
Aeoliscus strigatus
Aesopia cornuta
Aethaloperca rogaa
Aetobatus flagellum
Agonostomus monticola
Albula glossodonta
Aldrichetta forsteri
Aldrovandia affinis
Aldrovandia oleosa
Alectis ciliaris
Alectis indica
Alepes djedaba
Alepes kleinii
Alepisaurus ferox
Alepocephalus agassizii
Alepocephalus australis
Alepocephalus bairdii
Alepocephalus bicolor
Alepocephalus longiceps
Alepocephalus productus
Alepocephalus tenebrosus
Alepocephalus umbriceps
Allocyttus niger
Alopias pelagicus
Alopias superciliosus
Alopias vulpinus
Alosa aestivalis
Alosa alabamae
Alosa alosa
Alosa mediocris
Alosa pseudoharengus
Alosa sapidissima
Aluterus monoceros
Aluterus scriptus
Amanses scopas
Amarsipus carlsbergi
Amazonsprattus scintilla
Ambassis gymnocephalus
Amblychaeturichthys hexanema
Amblygaster sirm
Amblyglyphidodon curacao
Amblyotrypauchen arctocephalus
Amblyraja georgiana
Amblyraja hyperborea
Amblyraja radiata
Ammodytes americanus
Ammodytes dubius
Ammodytes hexapterus
Ammodytes marinus
Ammodytes personatus
