12S_NC_063121.1:12956-13899	vague species identification (12S_NC_063121.1:12956-13899 Psedoliparis sp. RL-2022 mitochondrion, complete genome)
12S_NC_056997.1:71-1022	vague species identification (12S_NC_056997.1:71-1022 Cromileptes altivelis x Epinephelus tukula mitochondrion, complete genome)
12S_NC_053367.1:71-1024	vague species identification (12S_NC_053367.1:71-1024 Epinephelus fuscoguttatus x Epinephelus polyphekadion mitochondrion, complete genome)
12S_NC_053366.1:71-1026	vague species identification (12S_NC_053366.1:71-1026 Hyporthodus septemfasciatus x Epinephelus lanceolatus mitochondrion, complete genome)
12S_NC_052838.1:71-1023	vague species identification (12S_NC_052838.1:71-1023 Epinephelus akaara x Epinephelus tukula mitochondrion, complete genome)
12S_NC_052837.1:71-1023	vague species identification (12S_NC_052837.1:71-1023 Epinephelus awoara x Epinephelus tukula mitochondrion, complete genome)
12S_NC_042416.1:71-1022	vague species identification (12S_NC_042416.1:71-1022 Epinephelus fuscoguttatus x Epinephelus tukula mitochondrion, complete genome)
12S_NC_043900.1:69-1015	vague species identification (12S_NC_043900.1:69-1015 Takifugu obscurus x Takifugu rubripes mitochondrion, complete genome)
12S_NC_040957.1:69-1026	vague species identification (12S_NC_040957.1:69-1026 Acanthopagrus schlegelii x Pagrus major mitochondrion, complete genome)
12S_NC_040225.1:70-1022	vague species identification (12S_NC_040225.1:70-1022 Epinephelus moara x Epinephelus tukula mitochondrion, complete genome)
12S_NC_034675.1:71-1022	vague species identification (12S_NC_034675.1:71-1022 Cromileptes altivelis x Epinephelus lanceolatus mitochondrion, complete genome)
12S_NC_034668.1:71-1023	vague species identification (12S_NC_034668.1:71-1023 Epinephelus akaara x Epinephelus lanceolatus mitochondrion, complete genome)
12S_NC_034005.1:69-1015	vague species identification (12S_NC_034005.1:69-1015 Takifugu rubripes x Takifugu flavidus voucher BDH-JDZJ01 mitochondrion, complete genome)
12S_NC_032400.1:69-1015	vague species identification (12S_NC_032400.1:69-1015 Takifugu fasciatus x Takifugu flavidus mitochondrion, complete genome)
12S_NC_030318.1:70-1022	vague species identification (12S_NC_030318.1:70-1022 Epinephelus moara x Hyporthodus septemfasciatus mitochondrion, complete genome)
12S_NC_030276.1:70-1022	vague species identification (12S_NC_030276.1:70-1022 Epinephelus moara x lanceolatus mitochondrion, complete genome)
12S_NC_028343.1:71-1024	vague species identification (12S_NC_028343.1:71-1024 Glyphis sp. Bangladesh mitochondrion, complete genome)
12S_NC_028339.1:71-1024	vague species identification (12S_NC_028339.1:71-1024 Glyphis sp. Borneo mitochondrion, complete genome)
12S_NC_028337.1:71-1023	vague species identification (12S_NC_028337.1:71-1023 Glyphis sp. Pakistan mitochondrion, complete genome)
12S_NC_028197.1:69-1016	vague species identification (12S_NC_028197.1:69-1016 Serranidae sp. JL-2015 mitochondrion, complete genome)
12S_NC_028055.1:71-1023	vague species identification (12S_NC_028055.1:71-1023 Epinephelus fuscoguttatus x Epinephelus lanceolatus mitochondrion, complete genome)
OQ857311.1	vague species identification (OQ857311.1 Hemachatus sp. TMajor-2023a isolate UM1307 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR036045.1	vague species identification (OR036045.1 Lycengraulis sp. voucher CIUA_7241A small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR036008.1	vague species identification (OR036008.1 Lycengraulis sp. voucher CIUA_7255B small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR035815.1	vague species identification (OR035815.1 Lycengraulis sp. voucher CIUA_6952C small subunit ribosomal RNA gene, partial sequence; mitochondrial)
